"time_now","wd_avg_2mins","ws_avg_2mins","wd_avg_10mins","ws_avg_10mins","wd_maxsp_this_min","ws_maxsp_this_min","ws_avg_2_mins_helper","ws_avg_10_mins_helper","ws_maxsp_this_min_helper","water_this_min_rat","water_this_hour_rat","water_this_min_rat1","water_this_hour_rat1","water_this_min_by_weight","water_this_hour_by_weight","air_temp_by_box","sp_ventilation","air_temp_ventilation","wet_bulb_temp","value_humicap","relative_humidity","water_vapor_pressure","dew_temp","station_pressure","grass_temp","ground_temp_pt","ground_temp_infrared","ground_tem_5cm","ground_tem_10cm","ground_tem_15cm","ground_tem_20cm","ground_tem_40cm","ground_tem_80cm","ground_tem_160cm","ground_tem_320cm","water_lever_evaporation_this_min","water_evaporation_this_hour","visibility_avg_this_min","visibility_avg_10_mins","cloud_height","total_cloud_amount","low_cloud_amount","code_weather","snow_depth","freezing_rain","ice_accretion_on_wires","frozen_soil_depth","frequency_lightning","sign_of_data_quality"
"20:01"," 132","  42"," 135","  42"," 127","  70","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10143","----","  77","----","  87","  95","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:02"," 133","  53"," 135","  43"," 139","  77","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10142","----","  78","----","  87","  95","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:03"," 143","  57"," 137","  46"," 147","  75","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10142","----","  78","----","  87","  95","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:04"," 143","  50"," 137","  47"," 139","  63","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10142","----","  78","----","  87","  95","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:05"," 140","  49"," 139","  49"," 142","  67","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10143","----","  77","----","  86","  95","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:06"," 142","  56"," 139","  50"," 143","  67","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10143","----","  77","----","  86","  95","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:07"," 144","  50"," 140","  48"," 145","  65","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10143","----","  77","----","  86","  95","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:08"," 147","  41"," 141","  47"," 149","  47","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10143","----","  77","----","  86","  95","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:09"," 149","  36"," 142","  47"," 150","  49","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10144","----","  77","----","  86","  95","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:10"," 147","  40"," 143","  48"," 145","  69","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10144","----","  77","----","  86","  95","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:11"," 148","  45"," 145","  47"," 150","  60","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10144","----","  77","----","  86","  95","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:12"," 151","  40"," 146","  46"," 152","  46","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10144","----","  77","----","  86","  94","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:13"," 147","  36"," 146","  43"," 143","  42","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10144","----","  77","----","  86","  94","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:14"," 146","  42"," 147","  44"," 149","  64","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10144","----","  77","----","  86","  94","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:15"," 151","  53"," 148","  44"," 153","  76","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10144","----","  77","----","  86","  94","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:16"," 150","  52"," 148","  43"," 146","  63","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10144","----","  77","----","  86","  94","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:17"," 147","  48"," 148","  44"," 147","  60","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10143","----","  77","----","  86","  94","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:18"," 146","  52"," 148","  45"," 144","  74","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10142","----","  77","----","  86","  94","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:19"," 144","  49"," 147","  46"," 144","  63","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10141","----","  78","----","  86","  94","  98","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:20"," 142","  44"," 147","  46"," 139","  62","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10141","----","  77","----","  86","  94","  97","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:21"," 140","  43"," 146","  46"," 141","  52","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","74","  86","  48","10140","----","  77","----","  85","  94","  97","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:22"," 145","  45"," 145","  47"," 148","  60","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","75","  87","  50","10140","----","  77","----","  85","  94","  97","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:23"," 146","  47"," 145","  48"," 143","  58","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","75","  87","  50","10140","----","  77","----","  85","  94","  97","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:24"," 141","  46"," 144","  48"," 140","  61","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","75","  87","  50","10141","----","  77","----","  85","  94","  97","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:25"," 142","  49"," 144","  47"," 145","  58","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","75","  87","  50","10140","----","  77","----","  85","  93","  97","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:26"," 145","  48"," 144","  47"," 146","  61","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","75","  87","  50","10140","----","  77","----","  85","  93","  97","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:27"," 151","  47"," 145","  47"," 156","  59","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","75","  87","  50","10140","----","  77","----","  85","  93","  97","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
"20:28"," 150","  46"," 145","  46"," 144","  57","----","----","----","0000","0000","----","----","0000","0000","  92","----","----","----","----","75","  87","  50","10140","----","  78","----","  85","  93","  97","  95","----","----","----","----","----","----","-----","-----","-----","----","----","------------","----","----","----","----","----","000000NNN00NN000NNNN0000N0N0000NNNNNNNNNNNNNNNNN"
