58463 2015   01   061213000E305300N   46   56  105  10531-------1111-1-111-1111111111-------V1.00---------------------------------------------------------------------------------------------------------------------------------------------------------------
2001 271  17 277  17 272  24------------00000000--------00000000 152----------------  47  81  4010131---- 127---- 119 116 111 103-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2002 275  18 276  17 277  22------------00000000--------00000000 152----------------  47  81  4010131---- 127---- 119 116 111 103-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2003 272  17 275  17 268  22------------00000000--------00000000 151----------------  47  81  3910131---- 126---- 119 116 111 103-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2004 269  17 274  17 271  19------------00000000--------00000000 151----------------  48  82  4210131---- 127---- 119 116 111 103-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2005 269  17 273  17 267  22------------00000000--------00000000 151----------------  48  82  4210131---- 126---- 119 116 111 103-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2006 268  17 272  17 269  22------------00000000--------00000000 151----------------  48  82  4210131---- 126---- 119 116 111 103-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2007 267  15 271  17 264  18------------00000000--------00000000 151----------------  48  82  4210131---- 126---- 119 116 111 103-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2008 264  14 269  17 264  18------------00000000--------00000000 151----------------  48  82  4210131---- 126---- 119 116 111 103-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2009 263  14 268  16 262  15------------00000000--------00000000 151----------------  48  82  4210131---- 126---- 119 116 111 104-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2010 262  14 267  16 261  20------------00000000--------00000000 150----------------  48  82  4110131---- 126---- 119 116 111 103-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2011 261  14 266  16 261  18------------00000000--------00000000 150----------------  48  82  4110131---- 126---- 119 116 111 104-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2012 261  13 265  15 262  16------------00000000--------00000000 150----------------  48  82  4110131---- 126---- 119 115 111 103-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2013 260  11 264  14 258  16------------00000000--------00000000 150----------------  48  82  4110131---- 125---- 119 115 111 104-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2014 261  11 263  14 264  16------------00000000--------00000000 150----------------  48  82  4110131---- 125---- 119 115 111 104-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2015 263  12 263  13 262  15------------00000000--------00000000 150----------------  48  82  4110130---- 125---- 118 115 111 104-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2016 265  12 263  13 268  15------------00000000--------00000000 149----------------  48  81  4010130---- 125---- 118 115 111 103-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2017 270  13 263  13 271  16------------00000000--------00000000 149----------------  49  83  4310130---- 125---- 118 115 111 103-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
2018 273  14 264  13 276  17------------00000000--------00000000 149----------------  49  83  4310130---- 125---- 118 115 111 104-------------------------------------------------------------------------------000000NNN00NN001NNNN0010N0N1111NNNNNNNNNNNNNNNNN
